type,title,listed_in,description
Movie,Polar,"Action & Adventure, International Movies","An assassin on the verge of retirement must put the good life on hold when his greedy boss sends a squad of young, ruthless killers to take him out."
Movie,Just Love,"Dramas, International Movies, Music & Musicals","Inspired by his love affair with a conservative lawyer, the lead singer of a struggling garage band pens a hit song that propels him to fame."
Movie,Close,"Action & Adventure, International Movies","When attackers target the heiress she's protecting, battle-hardened bodyguard Sam scrambles to save her client – and teach her how to fight back."
Movie,FYRE: The Greatest Party That Never Happened,Documentaries,"The Fyre Festival was billed as a luxury music experience on a posh private island, but it failed spectacularly in the hands of a cocky entrepreneur."
Movie,IO,"Dramas, Sci-Fi & Fantasy","As a young scientist searches for a way to save a dying Earth, she finds a connection with a man who's racing to catch the last shuttle off the planet."
Movie,Old Lord Savanna,"Documentaries, International Movies",This documentary captures the environmental and societal impact of Brazil's Cerrado savanna suffering from severe deforestation.
Movie,Patria,"Documentaries, International Movies","Paco Ignacio Taibo II brings his book trilogy to life, highlighting Mexico's history in 1854-1867, a period he considers foundational to the country."
Movie,Soni,"Dramas, Independent Movies, International Movies","While fighting crimes against women in Delhi, a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives."
Movie,Abducted in Plain Sight,Documentaries,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice."
Movie,"Abdullah, The Final Witness","Dramas, International Movies","Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case."
Movie,Adhugo,"Comedies, Independent Movies, International Movies",A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.
Movie,Echcharikkai,"International Movies, Thrillers","After kidnapping a millionaire’s daughter, two men get swept up in a power struggle as her father enlists a brilliant cop to hunt them down."
Movie,Pandigai,"Action & Adventure, Dramas, International Movies","Looking for a way out of his impoverished life, a lowly hotel waiter joins an underground fight club. Then he needs a way out of that."
Movie,Pari,"Horror Movies, International Movies","When their daughter exhibits strange behavior after moving into their new home, a couple must come to terms with who she really is."
Movie,Revenger,"Action & Adventure, International Movies","Hell-bent on avenging the murder of his family, a former detective infiltrates a remote island that serves as a prison for vicious death row criminals."
Movie,Sebastian Maniscalco: Stay Hungry,Stand-Up Comedy,"Sebastian Maniscalco brings an acerbically unique approach to peacocks on planes, life hacks, rich in-laws and life's annoyances in this comedy special."
Movie,The Doll,"Horror Movies, International Movies","Eerie things begin to happen after a man gives his wife a doll, unaware it once belonged to a girl who was murdered. The first of the ""Doll"" films."
Movie,The Doll 2,"Horror Movies, International Movies","A mother uses her deceased daughter’s doll as a medium to communicate with her, but the consequences are chilling. The second of the “Doll” films."
Movie,Baazaar,"Dramas, International Movies","A wide-eyed graduate learns the ugly side of ambition when he joins in the dubious business practices of his idol, a ruthless Mumbai stock tycoon."
Movie,All of You,"Comedies, Dramas, International Movies","Two strangers meet on a dating app and experience instant chemistry, but their relationship unravels as jarring differences catch up to them."
Movie,ReMastered: Massacre at the Stadium,"Documentaries, Music & Musicals","The shocking murder of singer Victor Jara in 1973 turned him into a powerful symbol of Chile's struggle. Decades later, a quest for justice unfolds."
Movie,Solo,"Dramas, Independent Movies, International Movies","In a remote area of the Canary Islands, a surfer falls off a cliff. Fighting to survive, he reflects on his life and past romance. Based on true events."
Movie,The Last Laugh,"Comedies, Dramas","After moving to a retirement home, restless talent manager Al reconnects with long-ago client Buddy and coaxes him back out on the comedy circuit."
Movie,GODZILLA The Planet Eater,"Action & Adventure, Anime Features, International Movies","With the earth alliance weakened, Haruo weighs siding with the Exif, whose death cult is summoning a monster that can destroy the world."
Movie,Next Enti?,"Comedies, Dramas, International Movies","Clashing views on intimacy lead a couple to go their separate ways to reflect on commitment and companionship, before suddenly crossing paths again."
Movie,Komola Rocket,"Dramas, Independent Movies, International Movies","As the lives of rich and poor passengers aboard a steamship unfold, buried secrets, lustful affairs and selfish desires are exposed."
Movie,Nang Nak,"Horror Movies, International Movies, Romantic Movies","In this adaptation of a Thai folk tale, a man returns from war to his family, unaware of a sad secret about what happened to them while he was away."
Movie,And Breathe Normally,"Dramas, Independent Movies, International Movies",An Icelandic single mom struggling with poverty and a Guinea-Bissauan asylum seeker facing deportation find their lives intertwined in unexpected ways.
Movie,El Potro: Unstoppable,"Dramas, International Movies, Music & Musicals","Argentine cuarteto singer Rodrigo ""El Potro"" Bueno rises to fame amid personal struggles in this dramatization of the charismatic superstar's life."
Movie,Lionheart,"Comedies, Dramas, Independent Movies","When her father falls ill, Adaeze steps up to run the family business – alongside her uncle – and prove herself in a male-dominated world."
Movie,Monty Python and the Holy Grail,"Action & Adventure, Classic Movies, Comedies",The Monty Python comedy clan skewers King Arthur and his Knights of the Round Table as they quest far and wide for the Holy Grail.
Movie,Back to the 90s,"Comedies, International Movies, Music & Musicals","When a teenager is transported back to his parents’ high school days, he has the chance to alter the events that led to their unhappy marriage."
Movie,Merku Thodarchi Malai,"Dramas, Independent Movies, International Movies","In southern India, a laborer's dreams of owning a piece of land to farm is complicated by political corruption."
Movie,Moshe Kasher: Live in Oakland,Stand-Up Comedy,Comic Moshe Kasher returns to his home turf of Oakland for this stand-up special that has him sharing uproarious stories about the people he's met.
Movie,Pokémon the Movie: I Choose You!,"Anime Features, Children & Family Movies","When Ash tries to pick his first Pokémon on his birthday, he ends up with a stubborn Pikachu and they embark on a journey to find the legendary Ho-Oh."
Movie,Puriyatha Puthir,"International Movies, Thrillers",An aspiring music director begins to receive voyeuristic footage of his girlfriend from her apparent stalker as tragedy strikes those around him.
Movie,Taramani,"Dramas, Independent Movies, International Movies","A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations."
Movie,Whitney Cummings: Money Shot,Stand-Up Comedy,"Comedy Central roast veteran Whitney Cummings gets the stage to herself in this debut special, which finds her riffing on a wide range of topics."
Movie,Bill Hicks: One Night Stand,Stand-Up Comedy,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music."
Movie,Bill Hicks: Reflections,Documentaries,"This documentary about comedian Bill Hicks offers insight into his irreverent takes on, well, everything. Brother Steve Hicks is the star witness."
Movie,Bill Hicks: Relentless,Stand-Up Comedy,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with."
Movie,Bill Hicks: Revelations,Stand-Up Comedy,"In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood."
Movie,Bill Hicks: Sane Man,Stand-Up Comedy,"Filmed in 1989 at a turning point in comedian Bill Hicks's career, this rare onstage performance captures him spouting off on a variety of topics."
Movie,Gina Yashere: Laughing to America,Stand-Up Comedy,"British comic Gina Yashere takes the stage in San Francisco, where she shares her thoughts on everything from toilet ninjas to her troublesome name."
Movie,Gina Yashere: Skinny B*tch,Stand-Up Comedy,"Standup comedian and ""Daily Show"" correspondent Gina Yashere delivers a sharp set of wry observations on the environment, money and more."
Movie,Mexicanos de Bronce,"Documentaries, International Movies, Music & Musicals","When street vices keep them coming back, three prisoners make sense of their lives in a penitentiary – and beyond it – through rap."
Movie,Sam Kinison: Breaking the Rules,Stand-Up Comedy,"The one-time preacher shakes and shudders as he tears into subjects including sex, marriage, religion, drugs and famine in this HBO special."
Movie,Sam Kinison: Family Entertainment Hour,Stand-Up Comedy,"Comic Sam Kinison lets it rip with this performance at L.A.'s Wiltern theatre, skewering every segment of modern society from religion to television."
Movie,Sam Kinison: Live in Vegas,Stand-Up Comedy,Standup legend Sam Kinison is at his screaming best as he storms the stage in Sin City to get a few things off his chest.
Movie,Sam Kinison: The Scream Continues,Documentaries,Sam's brother and former manager Bill Kinison speaks about the late comedian's journey from preacher to standup legend.
Movie,Secrets in the Hot Spring,"Comedies, Horror Movies, International Movies","When three teen outcasts arrive at a hot springs hotel to help run things, creepy incidents prompt comical efforts to find what lurks in their midst."
Movie,Taylor Swift reputation Stadium Tour,Music & Musicals,"Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
Movie,The Seven Deadly Sins the Movie: Prisoners of the Sky,"Action & Adventure, Anime Features, International Movies","The Seven Deadly Sins aid the Sky People against a powerful group of demons hellbent on resurrecting a demonic beast sealed over 3,000 years ago."
Movie,Tim Allen: Men Are Pigs,Stand-Up Comedy,"Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal."
Movie,Tim Allen: ReWires America,Stand-Up Comedy,"Standup star Tim Allen storms the stage for a set chock-full of observations about powerful cars, beautiful lawns and more of the things he loves."
Movie,Tim Minchin And The Heritage Orchestra Live,"Music & Musicals, Stand-Up Comedy","Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy."
Movie,Tim Minchin: So F**king Rock,"Music & Musicals, Stand-Up Comedy",Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags.
Movie,Todd Glass: Stand-Up Special,Stand-Up Comedy,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark."
Movie,Tom Papa Live in New York City,Stand-Up Comedy,"Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show."
Movie,A Twelve Year Night,"Dramas, International Movies",Future Uruguayan president José Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.
Movie,Black Mirror: Bandersnatch,"Dramas, International Movies, Sci-Fi & Fantasy","In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings."
Movie,Life Ki Toh Lag Gayi,"Action & Adventure, Comedies, Dramas","A vengeful son, a cop on a mission, a wannabe actress and a jilted lover find their lives intermingling in unexpected ways over 24 hours in Mumbai."
Movie,The Birth Reborn 3,"Documentaries, International Movies","This intimate look at a São Paulo birth center features interviews with mothers, activists, doctors and midwives. Third in a series of films."
Movie,When Angels Sleep,"Dramas, International Movies, Thrillers","After a businessman falls asleep at the wheel and hits a woman with his car, his interactions with her scared friend unleash a string of dark events."
Movie,Bad Seeds,"Comedies, Dramas, International Movies","Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students."
Movie,Bird Box,"Dramas, Sci-Fi & Fantasy, Thrillers","Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety."
Movie,Struggle: The Life and Lost Art of Szukalski,Documentaries,"Artists in LA discover the work of forgotten Polish sculptor Stanislav Szukalski, a mad genius whose true story unfolds chapter by astounding chapter."
Movie,23:59,"Horror Movies, International Movies","When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
Movie,Aggretsuko: We Wish You a Metal Christmas,Movies,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control."
Movie,Imperfect,"Action & Adventure, International Movies","After a brawl lands him in a Boys’ Home, a teen seems to be on a promising path until loyalty to his gangster buddy leads to even bigger trouble."
Movie,Lang Tong,"International Movies, Thrillers","After seducing a philandering con man, a rebellious young woman enlists his help in carrying out a heinous crime against her sister."
Movie,Miss J Contemplates Her Choice,"Dramas, International Movies, Thrillers",The life of a radio talk-show host is turned upside down after a murderous caller dials into her program and asks her to choose his next victim.
Movie,Ascharyachakit!,"Dramas, Independent Movies, International Movies","Entangling the lives of a movie star, a chauffeur, a prostitute and a pimp, this bold drama reveals ugly truths beneath Mumbai’s glitzy veneer."
Movie,Lilli,"Dramas, Independent Movies, International Movies","A woman who's about to give birth finds her maternal instincts kicking in when she's abducted, imprisoned and brutalized by a vicious gang."
Movie,Prince of Peoria: A Christmas Moose Miracle,"Children & Family Movies, Comedies","Teddy's never missed the Festival of Lights, but the bowling alley’s been snowed in! Not to worry – Emil insists the Christmas moose will save the day."
Movie,Andhadhun,"Comedies, Dramas, International Movies",A visually impaired pianist’s world careens into a series of shocking twists after he unintentionally lands at the murder scene of a former film star.
Movie,Dragons: Dawn of the Dragon Racers,"Children & Family Movies, Comedies","The ""How to Train Your Dragon"" adventure continues when a hunt for lost sheep turns into a fierce, fun-filled competition."
Movie,Kill the Messenger,"Dramas, Thrillers","In the 1980s, a crusading journalist uncovers secret CIA funding for Nicaraguan rebels, but the powers that be silence his investigation."
Movie,Maps to the Stars,"Comedies, Dramas",A showbiz family revolving around its teen celebrity son desperately tries to hang on to fame and success in this savage satire of Hollywood.
Movie,Springsteen on Broadway,Music & Musicals,Bruce Springsteen shares personal stories from his life and acoustic versions of some of his best-known songs in an intimate one-man show.
Movie,The Theory of Everything,"Dramas, Romantic Movies","As his esteem grows in the world of physics, Stephen Hawking's body is ravaged by ALS, forcing his increasing dependence on his devoted wife, Jane."
Movie,F.R.E.D.I.,"Children & Family Movies, Sci-Fi & Fantasy","Venturing into the woods, high schooler James discovers an intelligent robot that he must save from the hands of a businessman with an evil scheme."
Movie,Kita Kita,"Comedies, Dramas, International Movies","When a tour guide in Japan goes blind after seeing her fiancé’s infidelity, she befriends a fellow Filipino keen to coax her out of the darkness."
Movie,Once in a Lifetime Sessions with George Ezra,"Documentaries, Music & Musicals",English singer-songwriter George Ezra performs his standout songs and speaks about his transformation from aspiring bassist to pop star.
Movie,Once in a Lifetime Sessions with Kasabian,"Documentaries, Music & Musicals","Between shots of live performances, Tom Meighan and Sergio Pizzorno of the English rock band talk about the 20-plus years of making music together."
Movie,Once in a Lifetime Sessions with OneRepublic,"Documentaries, Music & Musicals","Exclusive interviews, live performances and studio recording sessions offer an intimate look at how OneRepublic became the successful band it is today."
Movie,Once in a Lifetime Sessions with Snow Patrol,"Documentaries, Music & Musicals","In addition to concert scenes and studio recording sessions, this documentary presents exclusive interviews of the five men from the Irish rock band."
Movie,Sad Hill Unearthed,"Documentaries, International Movies","An eclectic group of fans of 1966's ""The Good, the Bad and the Ugly"" attempt to restore the cemetery set in Spain where the movie's climax was filmed."
Movie,Vanjagar Ulagam,"Dramas, International Movies, Thrillers",Shyam wakes to discover he's suspected in a murder that one journalist believes may have ties to a mysterious gangster.
Movie,ROMA,"Dramas, Independent Movies, International Movies","Director Alfonso Cuarón delivers a vivid, emotional portrait of domestic life and social hierarchy set against Mexico's political turmoil of the 1970s."
Movie,"Out of Many, One",Documentaries,"In this documentary short, a diverse group of men and women discuss their personal journeys as they prepare for the U.S. citizenship test."
Movie,Vir Das: Losing It,Stand-Up Comedy,"The world's got a lot of problems, but Vir Das has a lot of answers as he discusses travel, religion, his childhood and more in this stand-up special."
Movie,5 Star Christmas,"Comedies, International Movies","When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy."
Movie,Dumplin',"Comedies, Dramas, Independent Movies","To prove a point about measuring up and fitting in, Texas teen Willowdean Dickson enters a local pageant run by her ex-beauty queen mom."
Movie,Free Rein: The Twelve Neighs of Christmas,"Children & Family Movies, Dramas","As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia."
Movie,Mowgli: Legend of the Jungle,"Action & Adventure, Children & Family Movies, Dramas",An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy – and his own human origins.
Movie,ReMastered: Who Killed Jam Master Jay?,"Documentaries, Music & Musicals",Run-DMC DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.
Movie,Super Monsters and the Wish Star,Children & Family Movies,"Christmas wishes come true for Lobo, whose favorite cousin arrives for a surprise visit, and for Glorb, who wishes he could be everywhere at once!"
Movie,The American Meme,Documentaries,"Social media stars Paris Hilton, Josh Ostrovsky, Brittany Furlan and Kirill Bichutsky hustle to build online empires – and face the pitfalls of fame."
Movie,RUSSELL BRAND: RE:BIRTH,Stand-Up Comedy,Russell Brand gets loquacious in London as he ruminates on the state of the world and marvels over how his life changed the moment he became a father.
Movie,Teefa in Trouble,"Action & Adventure, Comedies, International Movies","A gangster hires goon Teefa to abduct his friend’s daughter for an arranged marriage, but things get tricky when Teefa develops feelings for the girl."
Movie,A Beautiful Life,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives."
Movie,Accident,"International Movies, Thrillers",A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
Movie,"Ayotzinapa, el paso de la tortuga","Documentaries, International Movies","Delving into the disappearance of 43 college students in Mexico, this documentary seeks to give justice and a voice to the victims and their families."
Movie,Battle,"Dramas, International Movies, Romantic Movies","After Amalie's dad goes bankrupt, the young dancer's affluent life collapses. But she finds a new beat to follow after meeting hip-hop dancer Mikael."
Movie,Blind Detective,"Action & Adventure, Comedies, International Movies","When a cop loses his vision, his detecting skills stay sharp. Luckily, a rookie officer recognizes his extraordinary powers of deduction."
Movie,Break Up 100,"Comedies, International Movies, Romantic Movies","After their 99th breakup, a career woman and her carefree partner open a cafe where customers can put up souvenirs of past relationships."
Movie,Chal Bhaag,"Comedies, Dramas, International Movies",Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.
Movie,Crossroads: One Two Jaga,"Dramas, International Movies","In Kuala Lumpur, an abused domestic worker tries to escape to Indonesia, while an idealistic cop insists on fighting corruption  – at a heavy price."
Movie,Don't Go Breaking My Heart,"Comedies, International Movies, Romantic Movies","A financial analyst succumbs to a love triangle with a hard-drinking architect and a promiscuous investment bro, who soon becomes her boss."
Movie,Don't Go Breaking My Heart 2,"Comedies, International Movies, Romantic Movies","Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise."
Movie,Faraar,"Action & Adventure, Dramas, International Movies","When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence."
Movie,Helios,"Action & Adventure, International Movies","When master criminal Helios steals a mobile WMD, rival agents from Hong Kong, South Korea and China must join forces to recover the device."
Movie,Line Walker,"Action & Adventure, Dramas, International Movies",A Hong Kong intelligence officer tasked with finding undercover agents whose identities have been erased finds herself in the paths of rival triads.
Movie,Look for a Star,"Comedies, International Movies, Romantic Movies","While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money."
Movie,Oddbods: The Festive Menace,Movies,"In this ""Oddbods"" special, Bubbles's latest invention, the Naughty-or-Nice Machine, zaps Santa Claus, jeopardizing the whole Christmas holiday season."
Movie,Once a Gangster,"Action & Adventure, Comedies, International Movies","Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose."
Movie,Power Paandi,"Dramas, Independent Movies, International Movies","Retired, restless and constantly butting heads with his son, a former stuntman escapes on a road trip that becomes a journey to find his first love."
Movie,Roll With Me,"Documentaries, Sports Movies","Backed by a crew of unlikely allies, newly sober paraplegic Gabriel Cordell teams up with his nephew for a grueling wheelchair trek across America."
Movie,SDU: Sex Duties Unit,"Comedies, International Movies",Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.
Movie,Set Off,"Dramas, International Movies","When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps."
Movie,A Christmas Prince: The Royal Wedding,"Children & Family Movies, Dramas, Romantic Movies","A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol."
Movie,Angela's Christmas,Children & Family Movies,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.
Movie,El club de los insomnes,"Dramas, International Movies","An insomniac, an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart."
Movie,Happy as Lazzaro,"Dramas, Independent Movies, International Movies","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world."
Movie,Manto,"Dramas, Independent Movies, International Movies",The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.
Movie,Rajma Chawal,"Comedies, Dramas, International Movies","Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman."
Movie,The World Is Yours,"Action & Adventure, Comedies, International Movies","To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother."
Movie,Time Share,"Dramas, Independent Movies, International Movies",Husband and father Pedro becomes increasingly suspicious that a series of mishaps at a resort during a family vacation are part of a sinister plan.
Movie,My Little Pony Friendship Is Magic: Best Gift Ever,Children & Family Movies,"The ponies get in the spirit of the holidays by drawing names for a gift exchange, then race around Equestria in search of the perfect presents."
Movie,The Christmas Chronicles,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
Movie,The Tribe,"Comedies, International Movies","An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group."
Movie,Puppy Star Christmas,"Children & Family Movies, Comedies","A new pack of Pup Star pooches stumbles upon a rival team’s plan to ruin Christmas, then ends up at the North Pole to try and save the holiday spirit."
Movie,Sabrina,"Horror Movies, International Movies",A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to summon her late mother's spirit using a spooky ritual.
Movie,Target,"Comedies, Horror Movies, International Movies","Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive."
Movie,Trevor Noah: Son of Patricia,Stand-Up Comedy,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special."
Movie,The Pixar Story,Documentaries,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.
Movie,Cam,"Horror Movies, Independent Movies, Thrillers","After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity."
Movie,Nothing to Hide,"Comedies, Dramas, International Movies","To spice up a dinner party, old friends agree to share every private message that pops up on their phones – with disastrous results."
Movie,The Ballad of Buster Scruggs,"Comedies, Dramas","Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier."
Movie,The Princess Switch,"Children & Family Movies, Dramas, Romantic Movies","When a down-to-earth Chicago baker and a soon-to-be princess discover they look like twins, they hatch a Christmastime plan to trade places."
Movie,Aalorukkam,"Dramas, Independent Movies, International Movies","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
Movie,Christmas Wedding Planner,"Comedies, International Movies, Romantic Movies",A wedding planner’s world is turned upside down when a handsome private investigator is hired to disrupt one of her biggest jobs.
Movie,Halkaa,"Comedies, Dramas, Independent Movies","Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet."
Movie,May the Devil Take You,"Horror Movies, International Movies","Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past."
Movie,Muzaffarnagar Baaqi Hai,"Documentaries, International Movies","Through interviews with locals, this documentary investigates the triggers and outcomes of the 2013 communal riots in the heart of Uttar Pradesh."
Movie,Odu Raja Odu,"Comedies, Independent Movies, International Movies","While trying to buy his wife a set-top box, a struggling writer and his pal get entangled in the domino effect of a spectacularly botched drug deal."
Movie,Savita Damodar Paranjpe,"Horror Movies, International Movies","When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister."
Movie,The Giant,"Dramas, International Movies","In 1843, crippled Martin returns from war to his Basque hometown and finds his brother has grown into a giant, which they turn into a circus act."
Movie,BuyBust,"Action & Adventure, International Movies","In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night."
Movie,Loudon Wainwright III: Surviving Twin,Music & Musicals,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.
Movie,"All's Well, End's Well (2009)","Comedies, International Movies, Romantic Movies","Bound by a family rule that forbids him from marrying until his stubborn sister gets hitched, a bachelor enlists the help of a love guru to woo her."
Movie,Lommbock,"Comedies, International Movies","After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things."
Movie,Outlaw King,"Action & Adventure, Dramas","In 14th-century Scotland, Robert the Bruce claims the crown and leads a fierce uprising to win back the country's independence from English rule."
Movie,Bucket List,"Dramas, International Movies","After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor."
Movie,John Leguizamo's Latin History for Morons,Stand-Up Comedy,"In this one-man Broadway show, John Leguizamo finds humor and heartbreak as he traces 3,000 years of Latin history in an effort to help his bullied son."
Movie,Ana e Vitória,"Comedies, International Movies, LGBTQ Movies","After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives."
Movie,ReMastered: Tricky Dick & The Man in Black,"Documentaries, Music & Musicals","This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies."
Movie,The Holiday Calendar,"Dramas, Romantic Movies",A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future – and pointing her toward love.
Movie,The Other Side of the Wind,"Classic Movies, Dramas, Independent Movies","On the last day of his life, a legendary director struggles to complete a new project and contemplates his legacy in this layered film by Orson Welles."
Movie,They’ll Love Me When I’m Dead,Documentaries,"Actors, crew members and others who were there discuss the tumultuous creation of Orson Welles's final, unfinished film, “The Other Side of the Wind.”"
Movie,Aagey Se Right,"Comedies, International Movies, Music & Musicals","A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
Movie,Aamir,"International Movies, Thrillers","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
Movie,ABCD 2,"Dramas, International Movies, Music & Musicals","After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship."
Movie,ABCD: Any Body Can Dance,"Dramas, International Movies","Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest."
Movie,Arjun: The Warrior Prince,"Action & Adventure, Dramas, International Movies",This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.
Movie,Asees,"Dramas, International Movies, Music & Musicals","When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land."
Movie,Barfi!,"Comedies, Dramas, International Movies","Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him."
Movie,Chance Pe Dance,"Comedies, Dramas, International Movies","Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame."
Movie,Christmas With A View,"International Movies, Romantic Movies","Still reeling from a business failure, the restaurant manager of a ski resort finds her world jolted by a new chef, who has his own hidden past."
Movie,Chup Chup Ke,"Comedies, Dramas, International Movies","Mistaking a broke, small-time hustler for a millionaire, two bumbling fishermen hatch a scheme to use him to help pay off their debts."
Movie,Dhan Dhana Dhan Goal,"Dramas, International Movies, Music & Musicals","In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season."
Movie,Dhoondte Reh Jaoge,"Comedies, International Movies, Music & Musicals","An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference."
Movie,Do Dooni Chaar,"Comedies, International Movies","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
Movie,Edge of Fear,"Independent Movies, Thrillers","During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her."
Movie,"Edmilson Filho: Notas, Comedy about Relationships",Stand-Up Comedy,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women."
